sample_id,latitude,longitude,easting,northing,rule_id,type,severity,message,action
filebc494d5a79.3,30.77359641,76.354353,629605.0,3405295.0,R14,Crop Stress,WARNING,⚠️ Crop Stress Detected via Satellite.,"Probable causes: moisture deficit, nutrient deficiency, or pest pressure. Check field conditions. Consider irrigation and supplementary soil testing. NDVI: 0.246 (threshold: 0.35)"
filebc494d5a79.4,30.73686448,76.34673631,628925.0,3401215.0,R04,Phosphorus Management,INFO,✅ Very High Available Phosphorus.,Omit phosphatic fertilizer for 2-3 years. Retest soil before resuming application. Kharif crops after wheat with full P dose do not need additional phosphorus (R18). P detected: 57.3 kg/ha
filebc494d5a79.4,30.73686448,76.34673631,628925.0,3401215.0,R05,Phosphorus Management,INFO,✅ No phosphorus application required.,"Both OC and available P are above threshold. Omit phosphatic fertilizer for this season. OC: 0.660%, P: 57.3 kg/ha"
filebc494d5a79.4,30.73686448,76.34673631,628925.0,3401215.0,R06,Potassium Management,WARNING,⚠️ Potassium Deficiency Detected.,"Apply Muriate of Potash (MOP) as per crop recommendation. Khamanon Block falls in Fatehgarh Sahib — verify with local soil testing lab. High-risk districts: Gurdaspur, Hoshiarpur, Nawanshahar, Jalandhar, Ropar. K₂O detected: 49.3 kg/ha (threshold: 55 kg/acre)"
filebc494d5a79.4,30.73686448,76.34673631,628925.0,3401215.0,R14,Crop Stress,WARNING,⚠️ Crop Stress Detected via Satellite.,"Probable causes: moisture deficit, nutrient deficiency, or pest pressure. Check field conditions. Consider irrigation and supplementary soil testing. NDVI: 0.246 (threshold: 0.35)"
filebc494d5a79.5,30.78835403,76.42530929,636375.0,3407015.0,R01,Nitrogen Management,WARNING,⚠️ Low Organic Carbon detected.,Increase nitrogen dose by 25% over standard recommendation. Apply FYM (50-100 kg/acre) and green manures before sowing to improve soil health. OC detected: 0.375% (threshold: 0.40%)
filebc494d5a79.5,30.78835403,76.42530929,636375.0,3407015.0,R04,Phosphorus Management,INFO,✅ Very High Available Phosphorus.,Omit phosphatic fertilizer for 2-3 years. Retest soil before resuming application. Kharif crops after wheat with full P dose do not need additional phosphorus (R18). P detected: 69.4 kg/ha
filebc494d5a79.5,30.78835403,76.42530929,636375.0,3407015.0,R17,Organic Matter,INFO,ℹ️ Low Organic Matter — FYM Recommended.,Apply 50-100 kg/acre well-rotted Farmyard Manure (FYM) before sowing. Combine with chemical fertilizers for best soil health. Consider incorporating rice straw/crop residue to improve OC over seasons. OC detected: 0.375%
filebc494d5a79.5,30.78835403,76.42530929,636375.0,3407015.0,R20,Organic Matter,INFO,ℹ️ Retain Crop Residue.,"Incorporate paddy and wheat residue continuously in rice-wheat system. Improves soil OC, water retention, and reduces micronutrient deficiencies. Target: wheat yield 22.68 q/acre, system productivity 50.88 q/acre."
filebc494d5a79.5,30.78835403,76.42530929,636375.0,3407015.0,R14,Crop Stress,WARNING,⚠️ Crop Stress Detected via Satellite.,"Probable causes: moisture deficit, nutrient deficiency, or pest pressure. Check field conditions. Consider irrigation and supplementary soil testing. NDVI: 0.246 (threshold: 0.35)"
filebc494d5a79.6,30.83103944,76.33978981,628135.0,3411645.0,R01,Nitrogen Management,WARNING,⚠️ Low Organic Carbon detected.,Increase nitrogen dose by 25% over standard recommendation. Apply FYM (50-100 kg/acre) and green manures before sowing to improve soil health. OC detected: 0.135% (threshold: 0.40%)
filebc494d5a79.6,30.83103944,76.33978981,628135.0,3411645.0,R04,Phosphorus Management,INFO,✅ Very High Available Phosphorus.,Omit phosphatic fertilizer for 2-3 years. Retest soil before resuming application. Kharif crops after wheat with full P dose do not need additional phosphorus (R18). P detected: 34.9 kg/ha
filebc494d5a79.6,30.83103944,76.33978981,628135.0,3411645.0,R17,Organic Matter,INFO,ℹ️ Low Organic Matter — FYM Recommended.,Apply 50-100 kg/acre well-rotted Farmyard Manure (FYM) before sowing. Combine with chemical fertilizers for best soil health. Consider incorporating rice straw/crop residue to improve OC over seasons. OC detected: 0.135%
filebc494d5a79.6,30.83103944,76.33978981,628135.0,3411645.0,R20,Organic Matter,INFO,ℹ️ Retain Crop Residue.,"Incorporate paddy and wheat residue continuously in rice-wheat system. Improves soil OC, water retention, and reduces micronutrient deficiencies. Target: wheat yield 22.68 q/acre, system productivity 50.88 q/acre."
filebc494d5a79.6,30.83103944,76.33978981,628135.0,3411645.0,R14,Crop Stress,WARNING,⚠️ Crop Stress Detected via Satellite.,"Probable causes: moisture deficit, nutrient deficiency, or pest pressure. Check field conditions. Consider irrigation and supplementary soil testing. NDVI: 0.246 (threshold: 0.35)"
filebc494d5a79.7,30.80703252,76.30517202,624855.0,3408945.0,R04,Phosphorus Management,INFO,✅ Very High Available Phosphorus.,Omit phosphatic fertilizer for 2-3 years. Retest soil before resuming application. Kharif crops after wheat with full P dose do not need additional phosphorus (R18). P detected: 112.0 kg/ha
filebc494d5a79.7,30.80703252,76.30517202,624855.0,3408945.0,R05,Phosphorus Management,INFO,✅ No phosphorus application required.,"Both OC and available P are above threshold. Omit phosphatic fertilizer for this season. OC: 0.637%, P: 112.0 kg/ha"
filebc494d5a79.7,30.80703252,76.30517202,624855.0,3408945.0,R14,Crop Stress,WARNING,⚠️ Crop Stress Detected via Satellite.,"Probable causes: moisture deficit, nutrient deficiency, or pest pressure. Check field conditions. Consider irrigation and supplementary soil testing. NDVI: 0.246 (threshold: 0.35)"
filebc494d5a79.7,30.80703252,76.30517202,624855.0,3408945.0,BD01,Soil Structure,WARNING,⚠️ High Bulk Density — Soil Compaction.,Bulk density above 260 g/L indicates compaction from heavy machinery or tillage pan. Practice deep tillage (sub-soiling) once every 3-4 years. Add organic matter to improve soil structure. Bulk density: 264.3 g/L
filebc494d5a79.8,30.76038993,76.41664364,635585.0,3403905.0,R04,Phosphorus Management,INFO,✅ Very High Available Phosphorus.,Omit phosphatic fertilizer for 2-3 years. Retest soil before resuming application. Kharif crops after wheat with full P dose do not need additional phosphorus (R18). P detected: 20.8 kg/ha
filebc494d5a79.8,30.76038993,76.41664364,635585.0,3403905.0,R14,Crop Stress,WARNING,⚠️ Crop Stress Detected via Satellite.,"Probable causes: moisture deficit, nutrient deficiency, or pest pressure. Check field conditions. Consider irrigation and supplementary soil testing. NDVI: 0.246 (threshold: 0.35)"
filebc494d5a79.9,30.80790536,76.31699539,625985.0,3409055.0,R01,Nitrogen Management,WARNING,⚠️ Low Organic Carbon detected.,Increase nitrogen dose by 25% over standard recommendation. Apply FYM (50-100 kg/acre) and green manures before sowing to improve soil health. OC detected: 0.338% (threshold: 0.40%)
filebc494d5a79.9,30.80790536,76.31699539,625985.0,3409055.0,R04,Phosphorus Management,INFO,✅ Very High Available Phosphorus.,Omit phosphatic fertilizer for 2-3 years. Retest soil before resuming application. Kharif crops after wheat with full P dose do not need additional phosphorus (R18). P detected: 26.4 kg/ha
filebc494d5a79.9,30.80790536,76.31699539,625985.0,3409055.0,R06,Potassium Management,WARNING,⚠️ Potassium Deficiency Detected.,"Apply Muriate of Potash (MOP) as per crop recommendation. Khamanon Block falls in Fatehgarh Sahib — verify with local soil testing lab. High-risk districts: Gurdaspur, Hoshiarpur, Nawanshahar, Jalandhar, Ropar. K₂O detected: 39.8 kg/ha (threshold: 55 kg/acre)"
filebc494d5a79.9,30.80790536,76.31699539,625985.0,3409055.0,R17,Organic Matter,INFO,ℹ️ Low Organic Matter — FYM Recommended.,Apply 50-100 kg/acre well-rotted Farmyard Manure (FYM) before sowing. Combine with chemical fertilizers for best soil health. Consider incorporating rice straw/crop residue to improve OC over seasons. OC detected: 0.338%
filebc494d5a79.9,30.80790536,76.31699539,625985.0,3409055.0,R20,Organic Matter,INFO,ℹ️ Retain Crop Residue.,"Incorporate paddy and wheat residue continuously in rice-wheat system. Improves soil OC, water retention, and reduces micronutrient deficiencies. Target: wheat yield 22.68 q/acre, system productivity 50.88 q/acre."
filebc494d5a79.9,30.80790536,76.31699539,625985.0,3409055.0,R14,Crop Stress,WARNING,⚠️ Crop Stress Detected via Satellite.,"Probable causes: moisture deficit, nutrient deficiency, or pest pressure. Check field conditions. Consider irrigation and supplementary soil testing. NDVI: 0.246 (threshold: 0.35)"
filebc494d5a79.10,30.72303063,76.37536785,631685.0,3399715.0,R01,Nitrogen Management,WARNING,⚠️ Low Organic Carbon detected.,Increase nitrogen dose by 25% over standard recommendation. Apply FYM (50-100 kg/acre) and green manures before sowing to improve soil health. OC detected: 0.150% (threshold: 0.40%)
filebc494d5a79.10,30.72303063,76.37536785,631685.0,3399715.0,R06,Potassium Management,WARNING,⚠️ Potassium Deficiency Detected.,"Apply Muriate of Potash (MOP) as per crop recommendation. Khamanon Block falls in Fatehgarh Sahib — verify with local soil testing lab. High-risk districts: Gurdaspur, Hoshiarpur, Nawanshahar, Jalandhar, Ropar. K₂O detected: 42.5 kg/ha (threshold: 55 kg/acre)"
filebc494d5a79.10,30.72303063,76.37536785,631685.0,3399715.0,R11b,Soil pH,WARNING,⚠️ High pH — Approaching Sodic Range.,"pH is approaching problematic alkalinity. Monitor soil regularly. Apply organic manures to buffer pH. Watch for micronutrient deficiencies (Zn, Fe, Mn). pH detected: 8.62"
filebc494d5a79.10,30.72303063,76.37536785,631685.0,3399715.0,R17,Organic Matter,INFO,ℹ️ Low Organic Matter — FYM Recommended.,Apply 50-100 kg/acre well-rotted Farmyard Manure (FYM) before sowing. Combine with chemical fertilizers for best soil health. Consider incorporating rice straw/crop residue to improve OC over seasons. OC detected: 0.150%
filebc494d5a79.10,30.72303063,76.37536785,631685.0,3399715.0,R20,Organic Matter,INFO,ℹ️ Retain Crop Residue.,"Incorporate paddy and wheat residue continuously in rice-wheat system. Improves soil OC, water retention, and reduces micronutrient deficiencies. Target: wheat yield 22.68 q/acre, system productivity 50.88 q/acre."
filebc494d5a79.10,30.72303063,76.37536785,631685.0,3399715.0,R14,Crop Stress,WARNING,⚠️ Crop Stress Detected via Satellite.,"Probable causes: moisture deficit, nutrient deficiency, or pest pressure. Check field conditions. Consider irrigation and supplementary soil testing. NDVI: 0.246 (threshold: 0.35)"
filebc494d5a79.11,30.80631827,76.3995481,633885.0,3408975.0,R06,Potassium Management,WARNING,⚠️ Potassium Deficiency Detected.,"Apply Muriate of Potash (MOP) as per crop recommendation. Khamanon Block falls in Fatehgarh Sahib — verify with local soil testing lab. High-risk districts: Gurdaspur, Hoshiarpur, Nawanshahar, Jalandhar, Ropar. K₂O detected: 49.3 kg/ha (threshold: 55 kg/acre)"
filebc494d5a79.11,30.80631827,76.3995481,633885.0,3408975.0,R17,Organic Matter,INFO,ℹ️ Low Organic Matter — FYM Recommended.,Apply 50-100 kg/acre well-rotted Farmyard Manure (FYM) before sowing. Combine with chemical fertilizers for best soil health. Consider incorporating rice straw/crop residue to improve OC over seasons. OC detected: 0.458%
filebc494d5a79.11,30.80631827,76.3995481,633885.0,3408975.0,R14,Crop Stress,WARNING,⚠️ Crop Stress Detected via Satellite.,"Probable causes: moisture deficit, nutrient deficiency, or pest pressure. Check field conditions. Consider irrigation and supplementary soil testing. NDVI: 0.246 (threshold: 0.35)"
filebc494d5a79.12,30.79489107,76.33677986,627895.0,3407635.0,R04,Phosphorus Management,INFO,✅ Very High Available Phosphorus.,Omit phosphatic fertilizer for 2-3 years. Retest soil before resuming application. Kharif crops after wheat with full P dose do not need additional phosphorus (R18). P detected: 56.9 kg/ha
filebc494d5a79.12,30.79489107,76.33677986,627895.0,3407635.0,R17,Organic Matter,INFO,ℹ️ Low Organic Matter — FYM Recommended.,Apply 50-100 kg/acre well-rotted Farmyard Manure (FYM) before sowing. Combine with chemical fertilizers for best soil health. Consider incorporating rice straw/crop residue to improve OC over seasons. OC detected: 0.420%
filebc494d5a79.12,30.79489107,76.33677986,627895.0,3407635.0,R14,Crop Stress,WARNING,⚠️ Crop Stress Detected via Satellite.,"Probable causes: moisture deficit, nutrient deficiency, or pest pressure. Check field conditions. Consider irrigation and supplementary soil testing. NDVI: 0.246 (threshold: 0.35)"
filebc494d5a79.13,30.83561789,76.36787452,630815.0,3412185.0,R01,Nitrogen Management,WARNING,⚠️ Low Organic Carbon detected.,Increase nitrogen dose by 25% over standard recommendation. Apply FYM (50-100 kg/acre) and green manures before sowing to improve soil health. OC detected: 0.375% (threshold: 0.40%)
filebc494d5a79.13,30.83561789,76.36787452,630815.0,3412185.0,R04,Phosphorus Management,INFO,✅ Very High Available Phosphorus.,Omit phosphatic fertilizer for 2-3 years. Retest soil before resuming application. Kharif crops after wheat with full P dose do not need additional phosphorus (R18). P detected: 33.6 kg/ha
filebc494d5a79.13,30.83561789,76.36787452,630815.0,3412185.0,R17,Organic Matter,INFO,ℹ️ Low Organic Matter — FYM Recommended.,Apply 50-100 kg/acre well-rotted Farmyard Manure (FYM) before sowing. Combine with chemical fertilizers for best soil health. Consider incorporating rice straw/crop residue to improve OC over seasons. OC detected: 0.375%
filebc494d5a79.13,30.83561789,76.36787452,630815.0,3412185.0,R20,Organic Matter,INFO,ℹ️ Retain Crop Residue.,"Incorporate paddy and wheat residue continuously in rice-wheat system. Improves soil OC, water retention, and reduces micronutrient deficiencies. Target: wheat yield 22.68 q/acre, system productivity 50.88 q/acre."
filebc494d5a79.13,30.83561789,76.36787452,630815.0,3412185.0,R14,Crop Stress,WARNING,⚠️ Crop Stress Detected via Satellite.,"Probable causes: moisture deficit, nutrient deficiency, or pest pressure. Check field conditions. Consider irrigation and supplementary soil testing. NDVI: 0.246 (threshold: 0.35)"
filebc494d5a79.14,30.77485661,76.38874792,632895.0,3405475.0,R01,Nitrogen Management,WARNING,⚠️ Low Organic Carbon detected.,Increase nitrogen dose by 25% over standard recommendation. Apply FYM (50-100 kg/acre) and green manures before sowing to improve soil health. OC detected: 0.300% (threshold: 0.40%)
filebc494d5a79.14,30.77485661,76.38874792,632895.0,3405475.0,R06,Potassium Management,WARNING,⚠️ Potassium Deficiency Detected.,"Apply Muriate of Potash (MOP) as per crop recommendation. Khamanon Block falls in Fatehgarh Sahib — verify with local soil testing lab. High-risk districts: Gurdaspur, Hoshiarpur, Nawanshahar, Jalandhar, Ropar. K₂O detected: 47.9 kg/ha (threshold: 55 kg/acre)"
filebc494d5a79.14,30.77485661,76.38874792,632895.0,3405475.0,R17,Organic Matter,INFO,ℹ️ Low Organic Matter — FYM Recommended.,Apply 50-100 kg/acre well-rotted Farmyard Manure (FYM) before sowing. Combine with chemical fertilizers for best soil health. Consider incorporating rice straw/crop residue to improve OC over seasons. OC detected: 0.300%
filebc494d5a79.14,30.77485661,76.38874792,632895.0,3405475.0,R20,Organic Matter,INFO,ℹ️ Retain Crop Residue.,"Incorporate paddy and wheat residue continuously in rice-wheat system. Improves soil OC, water retention, and reduces micronutrient deficiencies. Target: wheat yield 22.68 q/acre, system productivity 50.88 q/acre."
filebc494d5a79.14,30.77485661,76.38874792,632895.0,3405475.0,R14,Crop Stress,WARNING,⚠️ Crop Stress Detected via Satellite.,"Probable causes: moisture deficit, nutrient deficiency, or pest pressure. Check field conditions. Consider irrigation and supplementary soil testing. NDVI: 0.246 (threshold: 0.35)"
filebc494d5a79.15,30.78460251,76.38857446,632865.0,3406555.0,R01,Nitrogen Management,WARNING,⚠️ Low Organic Carbon detected.,Increase nitrogen dose by 25% over standard recommendation. Apply FYM (50-100 kg/acre) and green manures before sowing to improve soil health. OC detected: 0.150% (threshold: 0.40%)
filebc494d5a79.15,30.78460251,76.38857446,632865.0,3406555.0,R17,Organic Matter,INFO,ℹ️ Low Organic Matter — FYM Recommended.,Apply 50-100 kg/acre well-rotted Farmyard Manure (FYM) before sowing. Combine with chemical fertilizers for best soil health. Consider incorporating rice straw/crop residue to improve OC over seasons. OC detected: 0.150%
filebc494d5a79.15,30.78460251,76.38857446,632865.0,3406555.0,R20,Organic Matter,INFO,ℹ️ Retain Crop Residue.,"Incorporate paddy and wheat residue continuously in rice-wheat system. Improves soil OC, water retention, and reduces micronutrient deficiencies. Target: wheat yield 22.68 q/acre, system productivity 50.88 q/acre."
filebc494d5a79.15,30.78460251,76.38857446,632865.0,3406555.0,R14,Crop Stress,WARNING,⚠️ Crop Stress Detected via Satellite.,"Probable causes: moisture deficit, nutrient deficiency, or pest pressure. Check field conditions. Consider irrigation and supplementary soil testing. NDVI: 0.246 (threshold: 0.35)"
filebc494d5a79.16,30.7351024,76.32509108,626855.0,3400995.0,R04,Phosphorus Management,INFO,✅ Very High Available Phosphorus.,Omit phosphatic fertilizer for 2-3 years. Retest soil before resuming application. Kharif crops after wheat with full P dose do not need additional phosphorus (R18). P detected: 62.0 kg/ha
filebc494d5a79.16,30.7351024,76.32509108,626855.0,3400995.0,R05,Phosphorus Management,INFO,✅ No phosphorus application required.,"Both OC and available P are above threshold. Omit phosphatic fertilizer for this season. OC: 0.735%, P: 62.0 kg/ha"
filebc494d5a79.16,30.7351024,76.32509108,626855.0,3400995.0,R14,Crop Stress,WARNING,⚠️ Crop Stress Detected via Satellite.,"Probable causes: moisture deficit, nutrient deficiency, or pest pressure. Check field conditions. Consider irrigation and supplementary soil testing. NDVI: 0.246 (threshold: 0.35)"
filebc494d5a79.17,30.86309845,76.33688871,627815.0,3415195.0,R02,Nitrogen Management,INFO,✅ High Organic Carbon detected.,Reduce nitrogen fertilizer by 25% below standard dose. Soil is nitrogen-rich. Avoid over-fertilization to prevent lodging and waterway contamination. OC detected: 0.765%
filebc494d5a79.17,30.86309845,76.33688871,627815.0,3415195.0,R04,Phosphorus Management,INFO,✅ Very High Available Phosphorus.,Omit phosphatic fertilizer for 2-3 years. Retest soil before resuming application. Kharif crops after wheat with full P dose do not need additional phosphorus (R18). P detected: 140.0 kg/ha
filebc494d5a79.17,30.86309845,76.33688871,627815.0,3415195.0,R05,Phosphorus Management,INFO,✅ No phosphorus application required.,"Both OC and available P are above threshold. Omit phosphatic fertilizer for this season. OC: 0.765%, P: 140.0 kg/ha"
filebc494d5a79.17,30.86309845,76.33688871,627815.0,3415195.0,R14,Crop Stress,WARNING,⚠️ Crop Stress Detected via Satellite.,"Probable causes: moisture deficit, nutrient deficiency, or pest pressure. Check field conditions. Consider irrigation and supplementary soil testing. NDVI: 0.246 (threshold: 0.35)"
filebc494d5a79.18,30.76038623,76.39198776,633225.0,3403875.0,R04,Phosphorus Management,INFO,✅ Very High Available Phosphorus.,Omit phosphatic fertilizer for 2-3 years. Retest soil before resuming application. Kharif crops after wheat with full P dose do not need additional phosphorus (R18). P detected: 94.1 kg/ha
filebc494d5a79.18,30.76038623,76.39198776,633225.0,3403875.0,R05,Phosphorus Management,INFO,✅ No phosphorus application required.,"Both OC and available P are above threshold. Omit phosphatic fertilizer for this season. OC: 0.698%, P: 94.1 kg/ha"
filebc494d5a79.18,30.76038623,76.39198776,633225.0,3403875.0,R14,Crop Stress,WARNING,⚠️ Crop Stress Detected via Satellite.,"Probable causes: moisture deficit, nutrient deficiency, or pest pressure. Check field conditions. Consider irrigation and supplementary soil testing. NDVI: 0.246 (threshold: 0.35)"
filebc494d5a79.19,30.78125961,76.32875393,627145.0,3406115.0,R04,Phosphorus Management,INFO,✅ Very High Available Phosphorus.,Omit phosphatic fertilizer for 2-3 years. Retest soil before resuming application. Kharif crops after wheat with full P dose do not need additional phosphorus (R18). P detected: 37.9 kg/ha
filebc494d5a79.19,30.78125961,76.32875393,627145.0,3406115.0,R17,Organic Matter,INFO,ℹ️ Low Organic Matter — FYM Recommended.,Apply 50-100 kg/acre well-rotted Farmyard Manure (FYM) before sowing. Combine with chemical fertilizers for best soil health. Consider incorporating rice straw/crop residue to improve OC over seasons. OC detected: 0.487%
filebc494d5a79.19,30.78125961,76.32875393,627145.0,3406115.0,R14,Crop Stress,WARNING,⚠️ Crop Stress Detected via Satellite.,"Probable causes: moisture deficit, nutrient deficiency, or pest pressure. Check field conditions. Consider irrigation and supplementary soil testing. NDVI: 0.246 (threshold: 0.35)"
filebc494d5a79.20,30.7851634,76.30863864,625215.0,3406525.0,R04,Phosphorus Management,INFO,✅ Very High Available Phosphorus.,Omit phosphatic fertilizer for 2-3 years. Retest soil before resuming application. Kharif crops after wheat with full P dose do not need additional phosphorus (R18). P detected: 21.5 kg/ha
filebc494d5a79.20,30.7851634,76.30863864,625215.0,3406525.0,R06,Potassium Management,WARNING,⚠️ Potassium Deficiency Detected.,"Apply Muriate of Potash (MOP) as per crop recommendation. Khamanon Block falls in Fatehgarh Sahib — verify with local soil testing lab. High-risk districts: Gurdaspur, Hoshiarpur, Nawanshahar, Jalandhar, Ropar. K₂O detected: 49.3 kg/ha (threshold: 55 kg/acre)"
filebc494d5a79.20,30.7851634,76.30863864,625215.0,3406525.0,R17,Organic Matter,INFO,ℹ️ Low Organic Matter — FYM Recommended.,Apply 50-100 kg/acre well-rotted Farmyard Manure (FYM) before sowing. Combine with chemical fertilizers for best soil health. Consider incorporating rice straw/crop residue to improve OC over seasons. OC detected: 0.480%
filebc494d5a79.20,30.7851634,76.30863864,625215.0,3406525.0,R14,Crop Stress,WARNING,⚠️ Crop Stress Detected via Satellite.,"Probable causes: moisture deficit, nutrient deficiency, or pest pressure. Check field conditions. Consider irrigation and supplementary soil testing. NDVI: 0.246 (threshold: 0.35)"
filebc494d5a79.21,30.78196596,76.26721352,621255.0,3406125.0,R01,Nitrogen Management,WARNING,⚠️ Low Organic Carbon detected.,Increase nitrogen dose by 25% over standard recommendation. Apply FYM (50-100 kg/acre) and green manures before sowing to improve soil health. OC detected: 0.135% (threshold: 0.40%)
filebc494d5a79.21,30.78196596,76.26721352,621255.0,3406125.0,R04,Phosphorus Management,INFO,✅ Very High Available Phosphorus.,Omit phosphatic fertilizer for 2-3 years. Retest soil before resuming application. Kharif crops after wheat with full P dose do not need additional phosphorus (R18). P detected: 23.5 kg/ha
filebc494d5a79.21,30.78196596,76.26721352,621255.0,3406125.0,R06,Potassium Management,WARNING,⚠️ Potassium Deficiency Detected.,"Apply Muriate of Potash (MOP) as per crop recommendation. Khamanon Block falls in Fatehgarh Sahib — verify with local soil testing lab. High-risk districts: Gurdaspur, Hoshiarpur, Nawanshahar, Jalandhar, Ropar. K₂O detected: 37.1 kg/ha (threshold: 55 kg/acre)"
filebc494d5a79.21,30.78196596,76.26721352,621255.0,3406125.0,R17,Organic Matter,INFO,ℹ️ Low Organic Matter — FYM Recommended.,Apply 50-100 kg/acre well-rotted Farmyard Manure (FYM) before sowing. Combine with chemical fertilizers for best soil health. Consider incorporating rice straw/crop residue to improve OC over seasons. OC detected: 0.135%
filebc494d5a79.21,30.78196596,76.26721352,621255.0,3406125.0,R20,Organic Matter,INFO,ℹ️ Retain Crop Residue.,"Incorporate paddy and wheat residue continuously in rice-wheat system. Improves soil OC, water retention, and reduces micronutrient deficiencies. Target: wheat yield 22.68 q/acre, system productivity 50.88 q/acre."
filebc494d5a79.21,30.78196596,76.26721352,621255.0,3406125.0,R14,Crop Stress,WARNING,⚠️ Crop Stress Detected via Satellite.,"Probable causes: moisture deficit, nutrient deficiency, or pest pressure. Check field conditions. Consider irrigation and supplementary soil testing. NDVI: 0.246 (threshold: 0.35)"
filebc494d5a79.22,30.85764725,76.32300841,626495.0,3414575.0,R04,Phosphorus Management,INFO,✅ Very High Available Phosphorus.,Omit phosphatic fertilizer for 2-3 years. Retest soil before resuming application. Kharif crops after wheat with full P dose do not need additional phosphorus (R18). P detected: 38.8 kg/ha
filebc494d5a79.22,30.85764725,76.32300841,626495.0,3414575.0,R06,Potassium Management,WARNING,⚠️ Potassium Deficiency Detected.,"Apply Muriate of Potash (MOP) as per crop recommendation. Khamanon Block falls in Fatehgarh Sahib — verify with local soil testing lab. High-risk districts: Gurdaspur, Hoshiarpur, Nawanshahar, Jalandhar, Ropar. K₂O detected: 47.9 kg/ha (threshold: 55 kg/acre)"
filebc494d5a79.22,30.85764725,76.32300841,626495.0,3414575.0,R17,Organic Matter,INFO,ℹ️ Low Organic Matter — FYM Recommended.,Apply 50-100 kg/acre well-rotted Farmyard Manure (FYM) before sowing. Combine with chemical fertilizers for best soil health. Consider incorporating rice straw/crop residue to improve OC over seasons. OC detected: 0.450%
filebc494d5a79.22,30.85764725,76.32300841,626495.0,3414575.0,R14,Crop Stress,WARNING,⚠️ Crop Stress Detected via Satellite.,"Probable causes: moisture deficit, nutrient deficiency, or pest pressure. Check field conditions. Consider irrigation and supplementary soil testing. NDVI: 0.246 (threshold: 0.35)"
filebc494d5a79.23,30.84161577,76.3637771,630415.0,3412845.0,R01,Nitrogen Management,WARNING,⚠️ Low Organic Carbon detected.,Increase nitrogen dose by 25% over standard recommendation. Apply FYM (50-100 kg/acre) and green manures before sowing to improve soil health. OC detected: 0.352% (threshold: 0.40%)
filebc494d5a79.23,30.84161577,76.3637771,630415.0,3412845.0,R04,Phosphorus Management,INFO,✅ Very High Available Phosphorus.,Omit phosphatic fertilizer for 2-3 years. Retest soil before resuming application. Kharif crops after wheat with full P dose do not need additional phosphorus (R18). P detected: 37.6 kg/ha
